objid_ps,objid_1,ra_1,dec_1,n_obs_good,n_obs_all,mean_flux_good,mean_mag_good,mean_flux_all,period_good,period_all,baseline,rm,gm,hmag,w1mag,chi2,DM,Ag,period,EBV,n_ps_obs
9.776276852045437E18,77.97238_47.42224,77.97238,47.42224,159,291,0.844,16.547,0.162,1.045,1.045,3,13.929,14.65,10.774,10.48,31.991,17.679,0.55,21.91914,0.293,57
9.884011399381066E18,74.57047_50.09215,74.57047,50.09215,34,121,0.156,18.407,0.041,1.119,3.555,3,17.1,18.245,13.245,12.765,22.164,18.354,0.396,6.13208,0.853,87
1.0046721528106109E19,73.89651_41.80002,73.89651,41.80002,31,144,0.178,18.263,0.0040,1.65,1.045,5,16.092,17.261,12.66,12.141,30.081,19.137,0.449,21.97736,0.683,70
1.00465807906175E19,73.60568_43.47400,73.60568,43.474,18,144,0.313,17.544,-0.092,6.319,1.914,5,17.159,18.23,13.16,12.472,145.489,16.444,1.087,1.86433,1.132,59
1.008253921889239E19,72.57044_43.80563,72.57044,43.80563,191,425,0.623,16.871,0.043,3.186,6.369,5,14.925,15.785,12.503,11.931,118.705,16.165,0.908,2.27838,0.485,65
1.0028144179642806E19,72.00798_48.21665,72.00798,48.21665,19,120,0.224,17.983,0.01,3.979,3.003,3,18.14,19.032,15.46,15.063,42.504,18.099,0.423,1.48924,0.787,63
1.0082345704846391E19,71.69117_45.89502,71.69117,45.89502,14,134,0.165,18.344,-0.0020,1.268,6.186,3,18.345,20.035,13.728,13.247,9.857,16.216,0.251,1.18671,1.644,62
1.0009918674901127E19,71.33891_50.94579,71.33891,50.94579,24,120,0.339,17.546,-0.029,6.752,1.4,3,15.952,18.043,12.606,12.173,26.331,15.272,0.764,1.39971,1.252,52
1.015457922074399E19,71.27405_43.20271,71.27405,43.20271,19,144,0.17,18.314,-0.01,1.222,2.201,5,19.106,20.169,15.815,15.451,11.925,18.154,0.45,1.11288,1.035,69
1.0118216172190933E19,70.55394_47.44061,70.55394,47.44061,20,134,0.234,17.938,0.017,1.0,1.321,3,17.69,18.924,14.5,13.948,17.275,17.582,0.355,2.32924,1.032,41
1.026271838835918E19,70.05846_41.34795,70.05846,41.34795,92,279,0.52,16.982,0.026,1.18,1.18,5,15.788,16.488,13.491,13.364,59.72,16.04,0.969,1.18019,0.559,57
1.0172276959904788E19,69.61200_46.61617,69.612,46.61617,15,134,0.169,18.327,0.0010,2.917,2.299,3,17.742,18.75,14.734,14.321,27.227,18.394,0.391,2.96282,0.774,54
1.0208358533482613E19,69.39387_45.68958,69.39387,45.68958,15,134,0.155,18.4,-0.02,6.167,4.652,3,17.046,18.784,12.841,12.238,13.139,15.14,0.298,1.43943,1.587,54
1.0136072241025286E19,69.36472_48.95160,69.36472,48.9516,12,120,0.209,17.973,-0.0060,3.358,3.132,3,17.597,18.776,14.51,14.266,24.307,18.611,0.421,3.82092,0.814,46
1.0063785948569321E19,69.34298_52.30508,69.34298,52.30508,27,128,0.434,17.071,-0.07,2.253,1.219,5,15.795,16.915,12.682,12.403,47.482,15.131,0.749,1.21976,0.92,53
1.0226408116363248E19,69.31401_45.10024,69.31401,45.10024,24,134,0.33,17.567,-0.093,4.207,2.255,3,15.572,16.991,12.032,11.59,5.061,15.279,0.451,2.25424,1.092,49
1.0208323349109866E19,69.25894_45.97883,69.25894,45.97883,19,134,0.183,18.218,0.0040,2.541,2.294,3,17.099,18.414,14.478,13.631,54.998,19.271,0.818,15.07814,0.886,50
1.0099885114331834E19,69.07233_50.99542,69.07233,50.99542,18,120,0.179,18.043,0.0030,1.881,2.565,3,17.608,18.979,14.209,13.832,89.967,16.758,0.719,1.06214,1.112,58
1.0244422514873668E19,69.03591_44.79927,69.03591,44.79927,16,134,0.222,17.934,0.013,2.102,1.283,3,17.532,19.264,13.534,12.221,42.428,16.856,0.701,1.20342,1.115,51
1.0226372931991499E19,68.84775_45.38876,68.84775,45.38876,21,134,0.184,18.209,0.0040,1.902,1.318,3,18.514,20.297,14.014,13.618,27.862,16.614,0.576,1.77147,1.751,54
1.0262436913382248E19,68.54110_44.49215,68.5411,44.49215,24,134,0.263,17.869,0.021,3.523,1.086,3,18.316,19.888,13.959,12.988,12.76,17.178,0.314,1.8129,1.369,53
1.0081694793962138E19,68.53973_53.31915,68.53973,53.31915,54,128,0.377,17.437,0.0080,14.947,14.976,5,15.809,16.841,11.382,10.606,92.786,13.649,1.069,1.06835,1.438,71
1.01901506209265E19,68.52365_47.92946,68.52365,47.92946,34,254,0.249,17.831,,1.035,99999.9,3,16.828,18.145,13.729,13.394,51.111,16.086,0.513,1.08776,1.016,53
1.0135896319165153E19,68.46072_50.95391,68.46072,50.95391,16,120,0.172,18.302,0.01,1.035,2.463,3,18.682,19.7,14.71,14.302,21.889,17.787,0.569,1.79624,1.17,46
1.0334652837095336E19,68.39943_42.05952,68.39943,42.05952,24,135,0.161,18.354,0.021,1.776,6.323,5,16.921,18.339,13.747,13.236,41.419,15.74,0.37,1.00187,1.174,71
1.0262366544638865E19,68.23355_45.37923,68.23355,45.37923,53,134,0.916,16.368,0.049,3.67,2.75,3,14.328,15.532,11.494,11.129,8.966,14.326,0.503,1.57182,0.835,53
1.0352684827790952E19,68.22007_41.60008,68.22007,41.60008,52,135,0.223,17.961,0.033,8.031,1.058,5,16.111,17.211,12.807,11.999,67.554,20.343,0.495,38.98223,0.425,64
1.0226179417945475E19,68.08581_47.54184,68.08581,47.54184,43,134,0.655,16.826,-0.0080,1.253,3.757,3,14.946,16.443,10.81,10.214,12.513,14.404,0.776,3.75845,1.39,46
1.01538931254886E19,68.00750_50.90519,68.0075,50.90519,24,238,0.233,17.836,-0.02,1.616,1.167,3,18.566,20.389,13.666,13.023,20.989,16.306,0.318,1.74132,1.765,53
1.0063522065778442E19,67.91531_55.09446,67.91531,55.09446,19,128,0.191,18.082,0.016,3.099,1.276,5,17.709,19.227,14.636,14.11,61.694,20.319,0.636,15.89436,0.759,59
1.0045472482896867E19,67.77663_55.54042,67.77663,55.54042,18,128,0.238,17.874,-0.0050,3.204,1.592,5,17.125,18.102,13.473,13.01,42.983,15.606,0.503,1.00979,1.208,59
1.0244158632082315E19,67.61978_47.80807,67.61978,47.80807,70,505,0.395,17.39,,1.032,99999.9,3,18.532,19.884,14.83,14.318,21.14,17.407,0.257,1.42092,1.236,65
1.0153857941116273E19,67.59542_51.18280,67.59542,51.1828,42,238,0.223,17.996,0.023,1.048,1.281,3,18.164,19.481,15.062,14.819,47.186,17.598,0.554,1.02105,0.892,68
1.0189974699065262E19,67.46496_49.83486,67.46496,49.83486,49,238,0.266,17.758,0.011,1.275,3.985,3,16.819,18.532,13.691,13.398,76.622,16.649,1.231,1.0353,0.827,54
1.0081554056474071E19,67.43772_54.78076,67.43772,54.78076,11,122,0.25,17.509,-0.023,1.008,1.559,3,18.483,20.184,14.234,13.573,27.601,16.514,0.389,1.13155,1.495,62
1.0135737989490332E19,67.41102_52.73891,67.41102,52.73891,44,122,0.282,17.767,0.039,1.258,2.105,3,15.874,16.913,13.137,12.597,84.434,15.847,0.628,1.82631,0.914,65
1.009960363935505E19,67.40505_54.08124,67.40505,54.08124,11,122,0.263,17.718,-0.016,1.812,3.007,3,18.427,20.059,14.194,13.968,19.374,16.751,0.331,1.01183,1.376,71
1.0262208214963962E19,67.37610_47.27311,67.3761,47.27311,33,133,0.252,17.857,0.01,2.831,1.528,3,16.133,17.409,13.381,12.801,92.146,16.078,0.701,1.51067,0.905,56
1.0316392147981113E19,67.37520_44.90604,67.3752,44.90604,88,267,0.135,18.231,,1.292,99999.9,3,16.921,17.879,13.843,13.482,21.964,16.036,0.249,1.01849,0.975,56
1.015369961144166E19,66.81718_53.13081,66.81718,53.13081,20,122,0.235,17.895,-0.0090,1.027,1.893,3,18.256,19.82,14.032,13.737,10.1,17.292,0.239,1.93188,1.314,58
1.0244000302407657E19,66.68292_49.50991,66.68292,49.50991,23,118,0.18,18.196,0.01,4.286,3.018,3,17.434,18.55,14.249,13.931,41.504,17.49,0.361,1.79317,0.871,64
1.0081430911171664E19,66.67109_56.15649,66.67109,56.15649,75,367,0.328,17.53,0.024,1.035,5.323,3,15.754,17.056,12.337,11.985,16.366,16.91,0.358,5.32582,0.915,54
1.0117547669121298E19,66.62401_54.84443,66.62401,54.84443,17,122,0.209,18.006,0.018,1.003,2.655,3,17.939,19.74,12.795,11.985,78.987,16.102,0.648,2.20865,1.836,64
1.0117530076934504E19,66.41226_54.87628,66.41226,54.87628,16,122,0.204,18.109,0.0060,4.333,4.524,3,17.402,19.053,13.225,12.652,20.734,15.888,0.334,1.69166,1.53,64
1.0243965118035853E19,66.32862_49.87102,66.32862,49.87102,32,118,0.176,18.242,0.04,1.383,5.273,3,17.599,18.59,14.733,14.26,55.298,17.45,0.538,1.27477,0.832,58
1.0189746000647188E19,66.32758_52.50089,66.32758,52.50089,15,122,0.253,17.883,-0.0050,5.556,1.712,3,17.2,18.696,13.452,13.138,21.363,17.068,0.493,2.40317,1.105,46
1.0406481732714598E19,66.16016_43.82774,66.16016,43.82774,92,268,0.148,18.201,,1.026,99999.9,5,16.217,17.639,12.877,12.535,16.066,16.459,0.347,2.39964,0.956,53
1.0153594058325404E19,66.13225_54.25876,66.13225,54.25876,16,122,0.197,18.074,0.013,1.442,1.137,3,17.255,18.447,14.016,13.66,33.503,16.41,0.448,1.01612,0.999,57
1.026190914780109E19,65.61488_50.48765,65.61488,50.48765,33,118,0.181,18.2,0.04,5.666,1.198,3,16.282,17.264,13.45,13.276,54.641,16.916,0.435,2.14598,0.689,61
1.0261909147801092E19,65.56460_50.59323,65.5646,50.59323,13,118,0.146,18.415,-0.018,1.038,1.436,3,18.669,20.179,14.377,13.014,25.982,17.479,0.337,1.36421,1.296,67
1.026187396342897E19,65.23464_50.86881,65.23464,50.86881,63,118,0.641,16.834,-0.155,1.242,1.242,3,13.504,13.936,11.478,11.287,67.773,16.067,0.935,5.0642,0.173,48
1.0334089887141499E19,65.19423_48.39548,65.19423,48.39548,15,118,0.195,18.175,-0.015,1.071,1.786,3,16.538,18.029,13.005,12.327,73.517,16.021,0.706,2.27219,1.283,61
1.0171520495904813E19,65.08795_54.92197,65.08795,54.92197,37,241,0.272,17.793,0.0050,1.244,1.141,3,17.52,19.051,13.48,13.074,50.523,15.434,0.438,1.13092,1.518,59
1.018955248660036E19,65.01623_54.53221,65.01623,54.53221,29,241,0.254,17.858,-0.0050,1.71,4.419,3,16.793,18.409,12.482,11.607,41.212,15.691,0.646,1.85893,1.438,53
1.029790276044793E19,64.84306_50.65489,64.84306,50.65489,8,118,99999.9,18.423,-0.035,99999.9,1.017,3,17.57,19.027,13.466,11.579,110.536,20.093,0.482,14.53038,0.771,69
1.0406270626481678E19,64.81547_46.06827,64.81547,46.06827,19,133,0.154,18.369,-0.032,1.469,2.037,3,16.752,17.393,14.421,13.798,81.013,16.485,0.53,1.00619,0.677,63
1.026175081812683E19,64.41728_52.08534,64.41728,52.08534,65,237,0.278,17.742,-0.0090,1.205,1.079,3,14.858,16.148,11.568,10.679,37.102,13.942,0.721,1.07888,1.1,72
1.0297797207331586E19,64.11328_51.73616,64.11328,51.73616,18,118,0.24,17.832,0.022,1.001,7.384,3,18.246,19.811,13.868,13.366,3.188,17.443,0.371,2.49619,1.347,55
1.03519459559764E19,63.93345_49.87613,63.93345,49.87613,15,118,0.146,18.434,-0.01,2.442,2.576,3,18.633,19.913,15.063,14.926,24.985,17.759,0.335,1.14614,1.086,64
1.0351981140348932E19,63.92292_49.42375,63.92292,49.42375,39,118,0.603,16.894,-0.049,2.247,4.493,3,14.684,16.526,10.088,9.601,12.16,14.075,0.859,4.49469,1.556,45
1.0225528507061164E19,63.73275_54.63671,63.73275,54.63671,20,119,0.175,18.292,-0.0020,1.163,1.329,3,18.151,19.058,14.961,14.551,66.251,20.188,0.731,11.35907,0.765,70
1.038792197643704E19,62.69716_50.06725,62.69716,50.06725,23,118,0.22,17.966,-0.0070,1.141,3.197,3,16.755,18.233,12.809,12.175,90.54,19.577,0.919,34.39152,0.994,46
1.0423950773456208E19,62.45564_49.73556,62.45564,49.73556,36,118,0.589,16.868,-0.092,1.796,3.592,3,14.659,16.544,10.457,9.775,12.07,14.024,0.836,3.5935,1.426,49
1.0460067531405298E19,62.30328_48.41554,62.30328,48.41554,28,118,0.229,17.931,0.033,1.07,1.128,3,18.018,18.833,15.089,14.758,30.079,17.626,0.537,1.42635,0.894,79
1.020726781794714E19,61.93044_57.67435,61.93044,57.67435,39,120,0.5,16.988,-0.075,3.241,1.13,3,15.273,16.263,12.903,12.605,44.62,15.483,0.851,1.12938,0.608,55
1.0405813229644235E19,61.75561_51.18614,61.75561,51.18614,46,238,0.264,17.735,-0.0,1.068,1.535,3,17.156,19.777,10.873,9.929,10.358,13.087,0.946,1.52485,2.624,60
1.0459961978288937E19,61.69565_49.51708,61.69565,49.51708,37,238,0.213,17.993,0.0090,1.083,1.054,3,18.218,19.656,14.5,14.073,33.283,16.871,0.385,1.14913,1.287,71
1.03335973059324E19,61.69194_53.88260,61.69194,53.8826,51,124,0.203,18.113,0.056,4.762,7.387,5,15.819,16.932,11.845,11.377,137.623,17.284,0.918,7.38534,0.872,63
1.038774605457656E19,61.61206_52.06127,61.61206,52.06127,40,362,0.286,17.718,-0.021,1.035,1.284,5,17.634,18.982,14.09,13.707,32.473,16.606,0.502,1.16373,1.179,59
1.042384522033978E19,61.57231_50.91485,61.57231,50.91485,36,238,0.225,17.907,0.0090,1.126,1.315,3,18.08,19.757,13.493,12.834,18.469,16.926,0.306,2.46799,1.545,67
1.0405795637458135E19,61.38344_51.49478,61.38344,51.49478,37,238,0.258,17.774,0.0080,1.035,2.943,3,18.959,20.642,14.536,12.857,16.697,17.259,0.751,1.14744,1.39,54
1.0496008367493964E19,61.18814_48.89780,61.18814,48.8978,26,120,0.225,17.976,0.027,1.073,1.721,3,18.163,19.331,15.541,15.065,49.69,17.712,0.594,1.09632,0.91,66
1.0315477354306925E19,60.98913_55.16500,60.98913,55.165,10,124,99999.9,18.321,-0.049,99999.9,1.206,5,16.779,18.025,13.604,13.223,10.384,15.963,0.255,1.13648,1.05,46
1.0423722075037608E19,60.68792_52.20488,60.68792,52.20488,96,244,1.781,15.532,0.161,2.079,4.158,5,14.173,15.536,10.328,9.651,15.738,14.414,1.01,4.16046,1.092,42
1.0405672492155802E19,60.57350_52.85440,60.5735,52.8544,25,124,0.251,17.841,0.01,3.578,1.04,5,17.655,19.136,13.672,12.213,16.299,16.568,0.372,1.36693,1.269,60
1.0369538142021028E19,60.17966_54.40220,60.17966,54.4022,58,259,0.245,17.865,0.037,1.463,1.054,5,16.395,17.533,13.046,12.779,15.662,15.305,0.379,1.02454,1.081,89
1.0495832445633501E19,59.87735_50.92053,59.87735,50.92053,52,120,1.167,16.062,0.157,1.686,3.372,3,14.539,16.0,10.214,9.673,21.08,14.061,0.866,3.37302,1.278,39
1.0459750872056592E19,59.84658_51.71411,59.84658,51.71411,99,255,1.078,15.931,-0.103,1.0,1.008,3,18.194,19.412,14.183,12.673,55.548,17.034,0.563,1.17031,1.207,54
1.0459715687684446E19,59.71744_52.20475,59.71744,52.20475,58,379,0.245,17.867,0.016,1.0,1.086,5,18.619,19.835,14.127,13.814,12.888,16.859,0.523,1.62226,1.486,64
1.0441666104802849E19,59.70855_52.80581,59.70855,52.80581,31,259,0.287,17.745,-0.011,1.209,1.58,5,16.679,17.862,12.881,12.474,11.112,15.966,0.377,1.5876,1.119,67
1.0495832445633501E19,59.69903_50.76333,59.69903,50.76333,22,120,0.203,18.033,0.0070,4.899,2.772,3,17.773,19.636,12.922,12.286,26.019,16.841,0.483,3.78973,1.625,64
1.0459698095498402E19,59.59978_52.38683,59.59978,52.38683,50,259,0.282,17.771,0.026,1.035,1.596,5,18.782,20.159,14.826,13.288,22.696,17.302,0.391,1.01257,1.276,74
1.0495814853447457E19,59.59897_50.89841,59.59897,50.89841,19,120,0.203,18.057,-0.0020,3.115,1.588,3,18.453,20.152,14.382,14.052,21.194,16.903,0.42,1.20253,1.398,57
1.0567978000601911E19,59.51232_49.10316,59.51232,49.10316,16,120,0.136,18.586,0.0040,7.082,3.625,3,16.805,18.363,13.224,12.598,9.673,17.165,0.374,3.74644,1.092,67
1.0387499763972004E19,59.47122_54.75484,59.47122,54.75484,46,259,0.223,17.966,0.025,1.187,3.885,5,17.75,18.922,14.521,13.931,25.127,17.016,0.553,1.47716,1.117,64
1.0459680503312327E19,59.40411_52.69398,59.40411,52.69398,63,259,0.283,17.712,0.041,15.284,1.173,5,19.517,20.939,14.522,13.978,54.352,18.657,0.555,2.48074,1.099,66
1.0459680503312325E19,59.33011_52.70342,59.33011,52.70342,80,259,0.316,17.621,0.026,1.202,1.005,5,15.965,16.912,12.882,11.912,147.32,17.072,0.928,2.96505,0.659,69
1.0477694901821805E19,59.08285_52.49554,59.08285,52.49554,42,259,0.278,17.758,0.025,3.057,1.167,5,19.134,20.37,14.613,12.96,51.653,17.51,0.807,1.0274,1.1,68
1.045966291112628E19,59.06242_52.80727,59.06242,52.80727,39,259,0.241,17.912,-0.0030,5.698,4.931,5,16.383,18.359,11.781,11.032,7.173,15.78,0.398,4.93282,1.632,65
1.0333298238769312E19,58.93036_56.99442,58.93036,56.99442,15,120,0.195,18.172,-0.0030,2.679,1.77,3,18.218,19.908,14.349,13.821,13.398,17.063,0.395,1.08253,1.163,61
1.0531808466094535E19,58.88865_51.11497,58.88865,51.11497,8,120,99999.9,18.011,-0.05,99999.9,2.616,3,15.358,16.78,11.551,11.127,39.377,14.171,0.516,1.06763,1.204,59
1.0531808466094535E19,58.82031_51.15024,58.82031,51.15024,36,120,0.206,18.035,0.028,1.369,1.329,3,15.533,16.718,12.567,12.098,44.375,16.573,0.828,3.99437,0.834,59
1.0459610134568106E19,58.72010_53.31268,58.7201,53.31268,37,259,0.203,18.1,-0.0030,1.035,5.065,5,17.985,19.56,13.954,12.35,44.04,17.474,0.566,2.07371,1.113,56
1.0477624533078018E19,58.45551_53.16345,58.45551,53.16345,27,259,0.213,17.987,-0.0,1.086,1.111,5,18.264,20.098,13.287,12.135,44.306,16.712,0.881,1.82824,1.496,67
1.0477624533078018E19,58.41343_53.13196,58.41343,53.13196,17,259,0.178,18.281,-0.025,5.885,1.63,5,17.38,19.233,12.512,11.906,7.52,15.544,0.211,1.98355,1.742,59
1.0423458192246753E19,58.23321_55.05930,58.23321,55.0593,25,259,0.214,18.041,-0.017,1.019,3.065,5,18.752,20.372,14.229,13.786,8.126,16.365,0.176,1.18271,1.7,58
1.0603918836690702E19,58.15385_49.61718,58.15385,49.61718,36,120,0.147,18.414,-0.017,1.207,2.465,3,15.742,17.183,11.94,11.688,17.511,15.511,0.253,2.46533,1.152,66
1.064000041026814E19,57.93829_48.78106,57.93829,48.78106,10,120,99999.9,18.335,-0.019,99999.9,2.603,3,17.922,19.264,14.944,14.487,21.431,16.803,0.666,0.99991,1.22,58
1.0495621339401118E19,57.87469_53.24528,57.87469,53.24528,46,259,0.204,17.991,0.016,1.038,7.657,5,18.398,19.993,13.638,12.503,12.478,16.279,0.182,1.3326,1.667,50
1.045950458145177E19,57.82147_54.59851,57.82147,54.59851,34,259,0.354,16.287,-0.0090,1.497,1.003,5,17.038,18.126,14.048,13.674,19.807,16.177,0.333,1.05611,1.023,71
1.0477554164333371E19,57.72672_54.08350,57.72672,54.0835,37,259,0.22,17.941,0.0050,1.5,1.581,5,18.616,20.399,13.16,11.878,30.931,15.653,0.46,1.02929,1.815,63
1.0531702912978182E19,57.70908_52.13934,57.70908,52.13934,50,260,0.252,17.869,0.032,1.035,3.987,5,18.41,19.723,15.102,14.596,32.961,19.281,0.661,3.8056,0.899,62
1.0567784486555337E19,57.62497_51.19136,57.62497,51.19136,21,120,0.169,18.302,0.0080,2.969,1.561,3,18.453,19.974,13.444,12.569,15.491,16.327,0.325,1.82907,1.795,59
1.0603848467946488E19,57.57996_50.49260,57.57996,50.4926,14,120,0.184,18.123,0.0080,2.824,5.031,3,18.011,19.71,13.421,12.93,25.024,16.236,0.398,1.31615,1.538,66
1.0567766894369262E19,57.47703_51.47259,57.47703,51.47259,24,120,1.645,15.517,-1.184,1.062,1.003,3,17.37,18.445,14.088,13.436,54.157,17.166,0.329,1.99669,1.044,58
1.047751897996153E19,57.46358_54.35805,57.46358,54.35805,20,140,0.184,18.219,0.021,1.362,1.055,5,17.441,18.94,13.39,12.823,100.568,18.243,0.852,8.73512,1.191,60
1.0675976430728421E19,57.06036_49.02469,57.06036,49.02469,17,120,0.197,18.152,-0.0080,1.463,3.096,3,16.777,18.2,13.053,12.562,10.444,15.307,0.377,1.03352,1.277,71
1.0603778099202208E19,57.01012_51.33780,57.01012,51.3378,20,120,0.202,18.041,0.0030,1.333,6.592,3,17.487,18.865,12.504,12.011,37.575,17.43,0.667,6.58178,1.418,63
1.058574610850665E19,56.93841_51.54604,56.93841,51.54604,25,120,0.313,17.459,-0.041,1.118,1.001,3,15.538,16.86,11.686,11.422,12.959,17.196,0.385,9.46085,0.916,65
1.0549629350557467E19,56.91985_52.98788,56.91985,52.98788,24,140,0.204,18.09,0.017,1.574,1.338,5,17.377,18.844,13.769,13.223,35.951,16.396,0.48,1.53231,1.285,60
1.0694008421423954E19,56.91779_48.57648,56.91779,48.57648,17,120,0.196,18.086,-0.0080,1.035,1.265,3,18.74,20.114,15.534,15.094,18.779,18.329,0.495,1.26568,0.925,52
1.0405285464062945E19,56.70563_57.02586,56.70563,57.02586,28,120,0.148,18.421,0.017,1.035,1.889,3,16.883,17.977,13.083,12.652,53.426,16.382,0.854,1.35831,0.931,42
1.056764374906695E19,56.54851_52.85229,56.54851,52.85229,29,140,0.211,18.071,0.027,6.764,2.018,5,17.165,18.477,13.937,13.352,23.878,16.472,0.401,1.51063,1.134,68
1.0675888469798173E19,56.42009_49.89608,56.42009,49.89608,78,255,0.109,18.482,,1.711,99999.9,5,16.552,17.757,13.474,13.28,38.169,16.978,0.28,2.31117,0.841,68
1.0657874071288881E19,56.35767_50.09020,56.35767,50.0902,30,255,0.174,18.204,-0.0010,4.124,1.845,5,17.566,18.917,13.646,13.255,58.642,17.19,0.568,2.18055,1.155,66
1.0621774905525869E19,56.34184_51.31179,56.34184,51.31179,23,255,0.239,17.881,0.0,4.182,8.029,5,17.436,18.643,14.664,13.976,11.067,16.731,0.19,1.1207,1.004,68
1.044133185326797E19,56.22869_56.41051,56.22869,56.41051,23,120,0.247,17.869,0.031,7.013,5.673,3,18.532,20.115,14.321,13.807,7.072,19.434,0.404,8.98731,1.231,67
1.0459328659591408E19,55.99646_56.41616,55.99646,56.41616,20,120,0.205,18.12,-0.0030,1.338,1.822,3,18.22,19.471,14.405,13.823,31.13,17.854,0.736,1.91276,1.076,54
1.069390286830766E19,55.96974_49.56109,55.96974,49.56109,57,255,0.23,17.922,0.04,1.035,1.428,5,18.672,19.474,15.155,14.729,7.38,17.643,0.458,1.10738,1.039,58
1.0603654953900093E19,55.58948_52.56078,55.58948,52.56078,7,140,99999.9,17.961,-0.04,99999.9,2.361,5,17.591,19.151,13.168,12.613,12.559,17.753,0.466,5.8713,1.335,61
1.0549506205255246E19,55.57932_54.49535,55.57932,54.49535,17,140,0.209,18.087,-0.0090,3.108,14.678,5,16.951,19.285,11.416,10.683,22.945,14.472,0.515,2.69227,2.139,73
1.0585605371018473E19,55.55569_53.24893,55.55569,53.24893,27,140,0.215,17.997,0.0050,1.437,2.071,5,16.061,17.387,12.29,11.886,90.672,15.06,1.086,1.08639,1.194,58
1.0495375048796432E19,55.53694_56.02981,55.53694,56.02981,24,260,0.226,17.97,-0.025,1.049,2.381,5,16.809,18.897,11.206,10.536,6.959,14.299,0.457,2.38149,2.077,46
1.0549488613069201E19,55.35917_54.55471,55.35917,54.55471,14,140,0.216,18.034,-0.0070,2.875,1.959,5,17.328,18.907,13.535,12.904,10.258,15.346,0.283,1.02497,1.486,52
1.0603602177341911E19,55.23212_53.17437,55.23212,53.17437,33,140,0.212,18.03,0.053,4.403,4.153,5,18.627,20.02,15.093,14.227,15.18,17.482,0.323,1.25339,1.215,64
1.069377972300548E19,55.06585_51.04034,55.06585,51.04034,25,255,0.225,17.907,-0.01,1.035,1.031,5,17.891,19.112,14.822,14.472,34.538,17.286,0.554,1.09769,0.935,64
1.054943583651127E19,54.76584_54.98455,54.76584,54.98455,20,140,0.235,17.887,0.015,1.284,1.323,5,18.302,19.767,14.399,14.051,21.298,17.433,0.315,1.82837,1.287,57
1.0477255097170577E19,54.70760_57.22290,54.7076,57.2229,36,120,0.197,18.089,-0.022,1.149,1.858,3,15.395,16.97,10.945,10.434,5.596,13.795,0.349,1.85785,1.6,62
1.0567432642834452E19,54.26348_55.08288,54.26348,55.08288,23,135,0.201,18.166,0.0070,1.142,1.03,3,16.803,18.367,12.87,12.016,20.034,15.197,0.346,1.06377,1.409,45
1.0621546207107168E19,54.14557_53.65151,54.14557,53.65151,22,135,0.228,17.992,0.026,1.135,4.781,3,17.431,18.141,14.402,13.679,48.687,16.422,0.677,1.2202,1.075,63
1.0747787734161832E19,53.88257_50.95489,53.88257,50.95489,18,135,0.202,18.063,0.0050,3.164,1.396,5,18.01,19.678,13.037,12.483,10.155,16.089,0.305,1.71494,1.639,68
1.0603443847667372E19,53.72050_55.00261,53.7205,55.00261,17,135,0.7,15.317,0.0070,1.51,1.452,3,17.1,18.578,13.081,12.574,8.96,15.59,0.442,1.52646,1.443,48
1.065757500412579E19,53.50373_53.38094,53.50373,53.38094,83,274,0.201,17.787,,1.862,99999.9,3,14.764,16.411,11.06,10.532,4.2,13.865,0.367,1.86161,1.312,70
1.067560699482155E19,53.40915_52.98935,53.40915,52.98935,22,274,0.281,17.74,-0.033,1.562,2.01,3,18.245,19.536,14.238,13.72,36.568,17.395,0.6,2.45076,1.28,50
1.069360380114479E19,53.21738_52.95881,53.21738,52.95881,39,274,0.318,17.64,0.0020,1.032,1.013,3,18.054,19.861,13.184,12.537,14.524,15.898,0.264,1.31185,1.683,65
1.0711530238724014E19,52.00945_53.84008,52.00945,53.84008,18,139,0.192,18.147,0.015,1.206,2.215,3,18.221,19.283,15.363,15.19,33.007,18.339,0.435,1.70922,0.839,54
1.081975736726944E19,51.90764_51.04357,51.90764,51.04357,9,135,99999.9,18.137,-0.021,99999.9,1.671,5,18.238,19.69,14.246,13.798,5.681,17.017,0.403,1.27624,1.292,58
1.0693463063656684E19,51.59662_54.36582,51.59662,54.36582,21,139,0.204,18.062,0.017,1.306,1.549,3,18.528,20.024,14.074,13.576,7.037,17.895,0.37,2.56288,1.302,56
1.0801619823457546E19,50.83780_52.71034,50.8378,52.71034,21,139,0.203,18.085,-0.013,3.789,1.195,3,17.573,18.329,14.804,14.443,46.526,17.346,0.49,1.08484,0.687,62
