,Ag,DM,EBV,chi2,dec,field,hmag,objid,period,ra,score_2
0,0.793,14.955,1.563,20.095,63.12745,116+00,11.932,11718225492929805556,2.48574,355.28432,0.998747944832
1,0.515,16.959,1.235,16.881,62.40585,116+00,12.728,11772251096273009311,4.19233,355.01054,0.789649069309
2,1.079,15.135,0.995,11.508,62.72755,116+00,11.792,11772303872831026263,2.39335,356.37914,0.928634524345
3,0.581,17.034,1.053,9.32,62.93645,116+00,13.007,11808367854221718614,3.41913,358.14467,0.348887205124
4,1.081,15.156,0.79,7.268,62.84717,116+00,11.588,11862481418493974102,2.81401,0.60585,0.939705491066
5,0.523,14.648,0.935,7.605,61.27092,116+00,11.639,11880355079515123030,1.64485,355.53232,0.792638480663
6,0.666,14.662,0.978,12.907,62.3261,116+00,11.711,11880443040445438580,1.84567,358.35758,0.614522099495
7,0.554,13.222,1.087,15.739,61.95962,116+00,10.152,11898545399885932829,1.90174,1.77321,0.695640683174
8,1.123,21.428,0.492,37.782,61.70532,116+00,14.453,11934574196905506398,30.85851,1.4504,0.630187749863
0,0.593,14.983,0.839,16.584,19.87007,064-12,10.358,12273083040771382142,5.7113,307.53614,0.351143807173
0,0.34,18.079,0.737,32.055,34.53879,169-08,13.83,10443337362477313557,6.0645,73.08443,0.290559023619
1,0.758,17.723,0.896,39.867,34.88288,169-08,13.634,10461281392242434444,6.33985,72.24913,0.542608380318
2,0.561,17.166,0.597,40.231,33.28224,169-08,14.642,10497433334563537290,1.24195,73.22391,0.26744607091
3,0.41,17.674,1.13,14.377,34.64394,169-08,13.152,10587276628692519464,7.57769,69.96572,0.347154200077
4,0.471,19.662,0.88,38.881,34.52104,169-08,15.236,10605308619388046113,6.62343,69.94639,0.260736256838
5,0.492,14.313,0.785,57.482,33.07961,169-08,12.05,10623428571014107009,1.12419,70.80615,0.717214584351
6,0.356,15.466,1.33,29.882,34.10595,169-08,12.979,10641319824220975376,1.41596,69.42778,0.656770944595
7,0.581,14.883,1.428,63.209,31.99708,169-08,12.382,10641530930453647351,1.23447,71.46321,0.340808033943
8,0.428,16.97,1.239,42.515,31.47093,169-08,13.478,10731585330814806161,2.55249,70.49958,0.372057139874
9,0.56,14.224,0.795,35.261,31.58448,169-08,12.022,10749564544952174864,1.172,70.06516,0.646057486534
0,0.599,13.998,0.688,9.662,44.94268,161+00,11.38,10064436859452616273,1.29912,72.66504,0.582194745541
1,0.386,18.682,0.784,39.866,45.62729,161+00,14.474,10082380889218294911,5.75758,71.93494,0.282963067293
2,0.864,18.858,0.638,19.26,44.91077,161+00,14.458,10136441676933052140,5.9454,71.19859,0.37164324522
3,0.544,14.587,1.216,5.304,43.96281,161+00,11.247,10154508851999795562,2.67958,71.05162,0.915715992451
0,0.588,13.803,1.463,7.228,56.11843,100+00,10.823,11320888378931916197,1.95207,327.62281,0.965819180012
1,0.835,15.318,1.659,9.256,56.75506,100+00,11.865,11338973146185054219,2.92551,329.02546,0.998410463333
2,1.156,15.612,1.849,7.32,56.98987,100+00,12.534,11338990738370294952,2.20952,329.31243,0.773466408253
3,0.536,14.297,1.778,7.489,55.87229,100+00,10.257,11356917175949470813,4.76089,328.18571,0.997672021389
4,0.29,15.068,1.181,42.384,54.78069,100+00,11.744,11374861205716659827,2.00695,326.79851,0.267029941082
5,0.877,14.208,1.88,24.149,55.62749,100+00,9.584,11374913982274407330,8.0664,327.89514,0.999248564243
6,0.901,18.982,1.452,47.39,56.14965,100+00,11.831,11374966758831260612,45.50594,328.69973,0.621681928635
7,0.639,14.403,1.674,8.245,54.73625,100+00,10.415,11392875604224767653,4.35239,327.19236,0.999129593372
8,0.266,17.684,1.5,16.377,55.81525,100+00,14.182,11392981157340819108,2.95405,328.88519,0.334816396236
9,0.304,14.354,1.822,6.897,54.38594,100+00,11.678,11428904401243747083,1.63515,327.33291,0.430024623871
10,0.405,14.74,1.397,26.52,54.35081,100+00,10.18,11464968382636409541,6.78624,328.42199,0.98043847084
11,0.813,15.66,1.491,2.704,55.98259,100+00,12.243,11501173101514028134,3.07826,331.95912,0.984712362289
12,0.658,15.203,1.664,3.327,56.27362,100+00,12.896,11501208285886045819,1.38051,332.44177,0.950086891651
13,1.004,17.13,1.252,65.019,53.13895,100+00,8.528,11627150745779078222,52.78896,330.77466,0.465300410986
0,0.377,15.736,1.624,6.698,69.48167,120+06,13.416,11052009407428738697,1.40493,8.35238,0.732370615005
1,0.425,17.973,0.846,20.776,68.99398,120+06,15.214,11070041398123615961,1.5829,9.2863,0.291841596365
2,0.528,19.997,0.647,35.303,68.83168,120+06,14.674,11088073388819151045,11.97412,9.46172,0.264320552349
3,0.298,17.875,1.154,4.501,68.96916,120+06,12.851,11124049409280015595,8.03861,7.34115,0.788656651974
4,0.481,17.087,1.135,7.331,69.53765,120+06,14.832,11159972653182564718,1.41959,2.81314,0.340492188931
5,0.35,18.454,1.119,8.381,69.00827,120+06,14.827,11214015848711502919,3.70332,2.80401,0.323233574629
6,0.146,14.3,2.05,7.588,68.5016,120+06,10.048,11250062237915998575,4.92325,3.74597,0.547657489777
7,0.389,15.896,1.046,8.046,68.97372,120+06,11.768,11286003074005363711,3.92337,359.94405,0.831804871559
8,0.479,18.718,1.289,5.965,68.5204,120+06,13.963,11322049463210173542,6.58381,0.06331,0.977615535259
9,0.987,18.339,1.19,19.261,68.27802,120+06,0.0,11322067055396222679,6.58843,0.94283,0.273249715567
10,0.406,17.077,1.741,13.358,67.40727,120+06,13.14,11322155016326083201,4.10043,4.57109,0.742527186871
11,0.522,15.357,1.929,22.691,67.75522,120+06,13.025,11394107057248547699,1.29343,0.25964,0.523955345154
12,0.286,15.895,1.829,3.841,67.51143,120+06,12.157,11412121455757646420,3.24679,0.56241,0.60297369957
13,0.655,15.495,1.883,23.617,67.54243,120+06,12.5,11412121455758030103,1.49691,0.53934,0.343694329262
0,0.332,14.774,1.689,7.677,52.88159,094+00,12.634,11248461348985695765,1.41465,320.87427,0.603838562965
1,0.397,15.071,1.464,34.333,52.11762,094+00,11.098,11266405378752024628,4.72846,320.1852,0.945980727673
2,1.055,15.009,0.864,58.803,51.79461,094+00,11.688,11284402185075469879,1.65125,320.02998,0.769284129143
3,0.392,14.253,1.596,11.09,52.2833,094+00,12.262,11302486952328469774,1.1421,321.25732,0.792153537273
4,0.904,13.612,1.299,11.364,50.79248,094+00,10.095,11320378205536461564,3.02197,319.6663,0.998555243015
5,0.675,14.66,1.846,10.95,52.00149,094+00,12.772,11320501350838511514,1.19189,321.44665,0.74976849556
6,0.589,14.82,2.458,12.361,52.32163,094+00,10.376,11320536535210023586,7.34496,321.79602,0.780018389225
7,0.724,15.658,1.419,65.29,50.87464,094+00,12.795,11338427788417896205,1.42279,320.50619,0.406212598085
8,0.447,15.33,1.345,6.561,52.97297,094+00,11.196,11338621302463592393,4.10971,323.304,0.961014926434
9,0.714,15.673,1.771,22.77,51.67275,094+00,13.801,11356530147857214192,1.06951,321.68997,0.385315895081
10,0.719,14.28,1.918,6.174,50.1253,094+00,10.725,11392453391760324501,3.43476,320.82021,0.995438635349
11,1.414,15.35,1.336,12.856,52.83729,094+00,11.586,11392699682364207298,3.0963,324.10486,0.866015613079
12,0.43,15.463,0.775,6.344,49.73387,094+00,12.232,11410450198082798437,1.59311,320.71313,0.459943115711
13,0.896,13.833,1.866,15.057,51.38239,094+00,9.779,11410608527757706495,4.3157,322.933,0.99900406599
14,0.356,15.582,0.58,6.019,52.37771,094+00,10.769,11410696488688598050,5.22993,323.94972,0.585266709328
15,1.242,15.709,1.628,13.331,52.58702,094+00,12.477,11410714080873718223,2.4833,324.41589,0.986639022827
16,0.534,13.992,1.592,46.574,50.55288,094+00,12.485,11428552557523338201,1.10301,321.98321,0.646225571632
17,0.491,14.416,1.728,12.665,52.2015,094+00,9.751,11428710887197226956,6.92923,324.22089,0.979719936848
18,0.846,14.612,1.863,31.63,52.39325,094+00,9.378,11428728479383207227,11.45999,324.63304,0.999240040779
19,0.484,16.357,2.122,13.056,49.92382,094+00,11.885,11446531771659853047,6.76053,321.70919,0.29410675168
20,1.296,16.225,1.57,15.069,50.00749,094+00,13.431,11464581354542156719,1.79825,322.45404,0.258354067802
0,0.803,14.774,0.653,9.284,-0.86337,034-06,12.514,12451010410426474397,1.0397,287.19317,0.549238562584
1,0.565,18.396,0.655,5.422,-0.4935,034-06,14.78,12469077585493396462,2.77806,287.85436,0.634590446949
2,1.135,12.904,2.183,104.142,-1.49337,034-06,9.893,12486986430886940273,2.02158,287.12973,0.647444963455
3,1.211,12.109,2.145,110.641,-0.56499,034-06,9.395,12487091984002876139,1.40082,288.06681,0.352837890387
4,0.745,15.896,0.543,7.918,-0.38934,034-06,13.284,12487109576189067390,1.20292,288.19013,0.376195997
5,0.788,19.432,0.215,18.558,-1.98413,034-06,12.109,12522997635719610880,43.56143,287.1456,0.388215333223
6,0.558,15.366,0.725,82.595,-2.33556,034-06,12.488,12649186386217567990,1.48435,289.28405,0.274675399065
7,1.311,12.692,1.438,37.845,-1.37324,034-06,9.354,12667306337840932472,1.21732,290.57748,0.279871225357
8,3.467,12.0,2.427,477.168,-2.54095,034-06,10.234,12703247173928617002,1.01548,290.04131,0.805809736252
0,0.769,20.001,0.432,9.045,51.78445,120-12,15.722,12529383599252065813,3.81284,9.46736,0.748519361019
1,0.599,18.09,0.475,8.59,51.5078,120-12,14.139,12583409202594173982,2.91709,8.8263,0.489328473806
0,1.151,12.798,1.86,40.715,-9.60848,025-06,10.645,12756516313272895757,0.99425,282.7079,0.568316221237
1,1.17,21.968,0.149,54.904,-10.29265,025-06,12.84,12864637888704436708,98.6964,284.17092,0.431267559528
2,0.647,19.673,0.328,8.107,-9.07191,025-06,13.051,12864761034004903252,23.05996,285.45704,0.597865343094
3,1.229,18.524,1.095,68.205,-9.80527,025-06,10.123,12882722655956924431,102.98242,285.0134,0.918426394463
4,0.372,13.561,1.31,4.715,-10.49833,025-06,9.696,12954762657806691384,3.03565,285.6738,0.630273640156
5,0.374,20.114,0.615,4.405,-10.48164,025-06,14.737,12954762657808954716,8.33683,285.6863,0.260570973158
6,0.504,19.58,0.794,10.763,-10.91081,025-06,14.231,12990791454825205760,9.61663,286.03489,0.500783205032
7,1.503,12.316,1.723,65.129,-10.70102,025-06,9.961,13008823445521092208,1.0145,286.29451,0.736341714859
0,0.657,16.938,1.283,5.063,37.59827,079-06,13.883,11607728972384879494,1.66244,312.92305,0.287268489599
1,0.584,13.291,1.851,14.411,36.45007,079-06,10.299,11661701799170525885,1.98208,312.69548,0.556058108807
2,0.464,19.942,0.421,42.196,35.80945,079-06,14.79,11769840966785288030,7.31635,314.37163,0.389384180307
3,0.718,17.215,0.808,31.051,36.59335,079-06,13.362,11769893743343953609,3.03045,314.80999,0.265729695559
0,0.562,19.472,0.59,9.271,-10.70134,025-12,14.15,13207175343171497195,8.37089,290.20001,0.482284843922
1,0.499,15.363,0.458,27.153,-12.71973,025-12,11.243,13261060209026278243,2.5868,289.17858,0.788404643536
2,0.457,16.015,0.594,18.671,-13.47561,025-12,11.214,13297018637300927835,5.67853,288.85406,0.321220576763
3,0.439,15.151,0.547,7.42,-12.49283,025-12,11.124,13405316134589837170,2.72076,291.97792,0.297209620476
0,0.884,17.596,1.347,21.489,25.44141,184+00,14.123,10210293673946853486,2.40198,86.927,0.893215477467
0,1.091,15.547,1.761,104.389,43.71529,100-12,13.393,12726240161089252655,1.1662,340.92904,0.365341931581
0,0.67,12.262,1.506,76.621,31.24102,064+06,9.279,10885816025866666621,1.09656,292.40495,0.630244791508
1,1.228,13.297,1.492,52.526,29.24211,064+06,9.034,10975764873111298029,1.71544,292.08574,0.80986815691
0,0.311,16.415,1.394,15.418,55.57507,094+06,13.59,10833954261408024247,2.03974,313.36238,0.323484569788
1,0.458,16.245,0.728,28.134,54.27367,094+06,12.58,10887944680378705657,2.90035,313.42333,0.395212054253
2,0.393,15.313,1.591,15.461,55.64354,094+06,12.805,10888067825680424277,1.78998,314.9102,0.747595191002
3,0.521,14.735,0.424,65.963,56.3324,094+06,11.921,10888120602238502660,1.31715,315.6588,0.341689050198
4,0.313,14.365,1.501,11.984,56.51369,094+06,10.704,10888138194425031349,2.75677,316.0571,0.494923561811
5,0.511,17.035,0.848,64.462,55.52232,094+06,14.871,10906082224189913166,1.45976,315.23109,0.378985971212
6,0.445,18.817,1.294,17.158,54.30239,094+06,13.837,10924008661769953004,7.80425,314.46197,0.561943233013
7,0.589,15.124,1.74,30.408,56.687,094+06,12.049,10924219768002108006,2.03,317.17709,0.395624220371
8,0.866,15.097,1.665,11.336,53.94287,094+06,11.692,10978069449484574519,2.84143,315.32216,0.997326612473
9,0.478,14.362,1.613,15.818,55.20838,094+06,11.578,10978192594785353153,1.75141,316.83695,0.928589165211
10,0.449,18.396,1.012,18.401,55.29601,094+06,13.709,10978192594786464129,7.60943,316.87895,0.301953226328
11,1.059,19.018,0.632,65.072,54.77781,094+06,15.117,10996189401108800006,2.97001,316.91522,0.508221685886
12,0.623,18.264,0.959,22.321,55.04895,094+06,13.567,10996206993296207274,5.66177,317.295,0.280306071043
13,0.917,19.469,0.903,53.217,55.81135,094+06,15.155,11014291760549491119,4.44978,318.36277,0.625333964825
14,0.435,17.372,1.079,19.127,54.34286,094+06,14.392,11050232596637254401,1.77531,317.40381,0.273848086596
0,0.313,15.244,0.625,8.328,40.86386,169+08,11.039,9380927655068800067,3.76187,87.81529,0.641116857529
0,1.067,13.443,1.436,128.441,6.16667,034+12,10.147,11207612292990600250,1.99037,270.95432,0.899943888187
1,0.572,17.322,0.409,6.74,4.8674,034+12,11.701,11297631508979926545,10.0507,271.46782,0.487080305815
2,0.403,19.661,0.251,15.366,5.33457,034+12,13.312,11351762665439895385,16.24512,272.85352,0.500303089619
3,0.423,19.509,0.455,7.36,5.48868,034+12,14.117,11423908220407886568,8.33727,274.39777,0.696960866451
0,0.709,18.93,0.581,19.02,56.7349,120-06,12.541,12258991699749193619,18.81639,5.59896,0.536551356316
0,0.506,16.28,1.425,20.581,59.48539,100+06,12.714,10870387678705616062,2.23769,320.11539,0.536841869354
1,0.427,16.994,1.185,16.728,58.54701,100+06,13.134,10942427680557635014,3.73052,320.59704,0.67827475071
2,0.431,16.426,1.75,32.083,59.04894,100+06,12.795,10942480457115653632,3.2559,321.4864,0.528474271297
3,0.362,15.296,0.786,23.606,58.57542,100+06,12.004,10960459671252532103,2.57205,320.98139,0.453080117702
4,0.375,18.085,1.258,7.416,58.73679,100+06,0.0,11014573235526287986,3.14354,323.00709,0.508220851421
5,0.843,18.565,1.344,30.249,58.72652,100+06,13.037,11014573235527527518,12.55624,323.23142,0.395621478558
6,0.36,17.429,0.675,27.205,59.60234,100+06,12.934,11014643604270175896,5.64473,324.26498,0.354389876127
7,0.669,17.271,1.321,51.427,57.86674,100+06,13.536,11032517265291746896,3.13503,322.00253,0.309581071138
8,0.634,18.481,1.463,12.978,58.74881,100+06,13.398,11050637216917987233,12.20708,323.93531,0.448799192905
9,0.326,15.186,1.369,22.571,57.98142,100+06,12.292,11068598838868790439,1.43239,323.33385,0.42786988616
10,0.971,15.593,1.492,45.149,57.91404,100+06,12.454,11068598838868802257,1.99712,323.48138,0.401230722666
11,0.406,17.756,1.514,4.248,58.00965,100+06,13.955,11104680412446424134,4.15547,324.61832,0.456946343184
12,0.47,17.961,1.308,12.261,58.25321,100+06,13.674,11104698004631666482,4.12029,325.01896,0.314744412899
13,0.484,18.241,1.225,5.301,57.95688,100+06,13.676,11122694810955208362,6.69191,324.89887,0.764240205288
14,0.418,15.375,1.605,7.139,58.19251,100+06,12.256,11122712403141147642,2.117,325.15245,0.869766116142
0,0.486,15.67,1.27,7.721,18.05487,191+00,13.059,7832797690974448090,1.24442,93.09013,0.565897226334
1,0.449,14.768,1.894,14.737,17.93501,191+00,13.188,7850829681669974328,0.99663,92.84972,0.911248385906
2,0.536,14.244,1.659,7.295,17.69874,191+00,11.359,7886928847432682985,1.96421,91.73442,0.993790209293
3,0.474,16.374,1.292,36.831,20.61552,191+00,12.36,8012836122952720031,2.92929,92.36194,0.333940535784
4,1.903,17.165,1.422,153.079,20.65763,191+00,14.103,8012836122952720727,2.02167,92.44242,0.33249682188
5,0.409,16.805,1.722,15.492,19.51257,191+00,13.907,8012959268255050134,1.92666,91.22974,0.263284146786
6,0.885,13.827,1.419,7.113,20.08136,191+00,10.662,8066984871597918325,2.13463,90.79107,0.979803442955
7,0.82,13.728,1.793,11.621,20.94564,191+00,10.327,8084928901362525464,2.94583,91.34521,0.999376833439
0,1.386,19.031,0.967,54.119,47.91399,094-06,12.085,11788963673014492811,26.77562,326.90935,0.779632866383
1,0.697,16.557,0.82,7.855,47.16938,094-06,11.963,11861021267052297762,5.54698,327.6008,0.645576775074
2,1.313,15.88,1.089,117.358,47.17034,094-06,12.303,11897085248443315143,2.55393,328.17812,0.409139692783
3,0.415,15.399,1.244,16.981,47.23946,094-06,11.504,11897102840629967404,2.2302,328.50601,0.636529564857
0,0.435,16.506,0.769,46.271,61.79366,131+00,13.193,11016737074408815486,2.76839,31.51621,0.329305171967
1,0.427,17.607,0.725,12.13,60.65665,131+00,14.528,11016825035339400221,2.12675,33.38504,0.329745411873
2,1.076,16.723,1.244,51.782,62.24544,131+00,13.245,11052677910497526486,2.55692,29.30287,0.704847216606
3,0.779,14.075,1.425,17.138,60.44214,131+00,9.853,11052853832358924384,5.46062,32.89755,0.999657034874
4,0.609,17.141,1.349,20.43,62.97372,131+00,12.671,11088618746586071505,7.36449,26.67917,0.555419147015
5,0.959,15.466,0.927,8.494,60.02531,131+00,12.677,11142873048347108898,1.37935,30.63623,0.499938011169
0,0.745,17.045,1.298,8.149,56.78841,146+00,13.757,10405303056249585513,2.22401,57.03277,0.375264644623
1,0.403,19.431,1.235,6.794,56.41051,146+00,14.321,10441331853267969724,8.98802,56.22869,0.835918784142
2,0.853,18.176,1.219,75.704,54.35805,146+00,13.39,10477518979961530216,8.73863,57.46358,0.855662047863
3,0.686,14.238,2.108,6.275,56.02981,146+00,11.206,10495375048796432654,2.38159,55.53694,0.967559993267
4,0.364,13.649,1.957,9.922,54.66707,146+00,10.02,10495480601912849973,3.78925,56.48168,0.876593589783
5,0.462,14.726,1.08,11.731,54.21086,146+00,12.513,10495515786284988478,1.13276,56.94946,0.262798011303
6,0.653,14.701,1.991,5.637,55.12782,146+00,11.246,10531421438001538839,3.12464,55.04555,0.997498214245
7,0.534,14.881,1.212,9.111,53.82056,146+00,11.975,10531544583303971216,2.18998,56.37577,0.849066317081
8,0.456,14.85,1.312,13.107,55.0721,146+00,11.138,10549435836511038136,3.60722,54.7808,0.985988438129
9,0.558,14.427,2.178,23.464,54.49535,146+00,11.416,10549506205255245679,2.68867,55.57932,0.971743285656
10,0.403,12.831,1.822,6.389,55.68849,146+00,9.747,10567379866276720689,2.03463,53.86963,0.761256754398
11,0.357,14.683,1.269,6.35,55.0758,146+00,12.667,10567432642834451937,1.06451,54.29964,0.609523653984
12,0.417,15.596,1.443,9.408,55.00261,146+00,13.081,10603443847667371598,1.52646,53.7205,0.66626894474
0,0.54,15.314,0.862,94.689,31.0622,169-12,12.448,10929585384744578445,1.45023,66.84225,0.355252832174
0,0.441,17.856,0.425,19.436,14.40745,191-08,14.061,11075371830494754434,3.50438,82.28043,0.365689218044
0,0.566,21.672,0.125,23.639,46.84317,140-12,15.195,11701970313025044604,21.78898,36.26443,0.579485058784
