,objid,ra_fit,dec_fit,rm,gm,chi2,DM, Ag, period,EBV,ng,nr,ni,nz,ny,Unnamed: 0,ra_params,dec_params,maxloglik,omega_best,tau_best,q,errorweightedmeanmag_g,errorweightedmeanmag_r,errorweightedmeanmag_i,errorweightedmeanmag_z,errorweightedmeanmag_y,gbandepochs,rbandepochs,ibandepochs,zbandepochs,ybandepochs,w1mpro,w2mpro,w1sigmpro,w2sigmpro,J,eJ,H,eH,K,eK,amp_g,amp_r,amp_i,amp_z,amp_y,gr,ri,iz,zy,gi,gy,iy,ry,iW1,iW2,W12,iK,gK,rK,zK,yK,JH,HK,iw1,w12,class_score,grm,class_score_2
1564,10423722075037607643,60.68793,52.20488,14.173,15.536,15.738,14.414,1.01,4.16046,1.092,15,10,3,3,11,4744749,60.687926,52.20488153,77.00460979,0.28001884,7.70693545,490.67855012,15.49121778,13.1834551,14.18991937,12.42463727,12.3303015,15,3,10,3,11,9.651,9.589,0.023,0.021,11.046,0.023,10.328,0.03,10.068,0.023,1.099,0.767,0.009,0.015,0.489,1.30129841,1.00646427,0.75881783,0.09433577,2.30776268,3.16091628,0.8531536,1.85961787,3.5324551,3.5944551,0.062,3.1154551,5.42321778,4.12191937,2.35663727,2.2623015,0.718,0.26,,,0.546298623085,1.363,0.91199606657
1566,10423792443781611819,61.19303,51.44049,13.532,14.394,48.486,14.727,0.618,2.10751,0.476,10,10,4,5,14,4677099,61.19302934,51.44049438,71.25955668,0.20683536,0.45351651,275.71541272,14.36573582,13.20355781,13.71256202,12.99008637,12.82076075,10,4,10,5,14,11.21,11.155,0.023,0.021,11.791,0.024,11.514,0.028,11.355,0.023,0.589,0.675,0.21,0.272,0.295,0.6531738,0.50900421,0.21347144,0.16932562,1.16217801,1.54497507,0.38279706,0.89180127,1.99355781,2.04855781,0.055,1.84855781,3.01073582,2.35756202,1.63508637,1.46576075,0.277,0.159,,,0.535700261593,0.862,0.713827311993
1581,10423950773456207946,62.45564,49.73556,14.659,16.544,12.07,14.024,0.836,3.5935,1.426,15,14,6,5,9,1573810,62.45566919,49.7355598,81.37128722,0.20683536,1.52707248,551.4157842,16.2330471,13.67086057,14.62894575,13.11058923,12.52009599,15,6,14,5,9,9.775,9.715,0.024,0.021,11.258,0.024,10.457,0.028,10.132,0.022,0.84,0.627,0.473,0.148,0.325,1.60410135,0.95808518,0.56027134,0.59049324,2.56218653,3.71295111,1.15076458,2.10884976,3.89586057,3.95586057,0.06,3.53886057,6.1010471,4.49694575,2.97858923,2.38809599,0.801,0.325,,,0.547254264355,1.885,0.99015557766
1619,10441648512616775737,59.54269,53.15534,16.436,18.278,13.055,14.422,0.243,1.45925,1.697,12,12,14,14,12,4749114,59.54269376,53.15533799,153.73989482,0.08335609,5.14193052,51.96164812,18.32470977,15.34658662,16.47110307,14.7580631,14.22143098,12,14,12,14,12,11.079,11.043,0.023,0.021,12.531,0.026,11.556,0.03,11.216,0.018,0.273,0.175,0.284,0.294,0.135,1.8536067,1.12451645,0.58852352,0.53663212,2.97812315,4.10327879,1.12515564,2.24967209,4.26758662,4.30358662,0.036,4.13058662,7.10870977,5.25510307,3.5420631,3.00543098,0.975,0.34,,,0.540253221989,1.842,0.704168319702
1659,10442545714105182578,65.59954,43.0052,16.711,17.802,66.471,17.646,0.544,2.71498,0.743,9,9,11,10,12,464271,65.5995439,43.00520303,82.08386853,0.20683536,0.45351651,289.09225974,17.86644989,16.26516272,16.70501905,15.99787074,15.61608453,9,11,9,10,12,13.393,13.361,0.025,0.032,14.425,0.028,13.801,0.034,13.59,0.037,0.593,0.07,0.775,0.67,0.114,1.16143084,0.43985633,0.26729198,0.38178621,1.60128717,2.25036536,0.64907819,1.08893452,2.87216272,2.90416272,0.032,2.67516272,4.27644989,3.11501905,2.40787074,2.02608453,0.624,0.211,,,0.545336127281,1.091,0.652740240097
1680,10459662911126281072,59.06242,52.80727,16.383,18.359,7.4,15.787,0.379,4.93282,1.627,14,12,10,13,16,4550224,59.06242148,52.80726629,135.39700422,0.11284955,1.01883565,87.53403894,18.39704826,15.26554164,16.40983802,14.59190696,14.10207527,14,10,12,13,16,11.032,10.954,0.023,0.021,12.658,0.027,11.781,0.031,11.385,0.019,0.444,0.335,0.13,0.346,0.267,1.98721024,1.14429638,0.67363468,0.48983169,3.13150662,4.29497299,1.16346637,2.30776275,4.23354164,4.31154164,0.078,3.88054164,7.01204826,5.02483802,3.20690696,2.71707527,0.877,0.396,,,0.547254264355,1.976,0.914457559586
1686,10459698095498400266,59.47892,52.42699,14.446,16.249,28.807,17.633,0.411,45.40799,0.985,16,13,8,9,8,4552961,59.4789208,52.42699314,122.86021705,0.15277852,17.31381436,141.84960563,16.25313518,13.54933296,14.49819296,13.07087531,12.60936238,16,8,13,9,8,9.477,9.339,0.023,0.021,10.875,0.026,9.939,0.032,9.533,0.023,0.261,0.233,0.246,0.554,0.376,1.75494222,0.94886,0.47845765,0.46151293,2.70380222,3.6437728,0.93997058,1.88883058,4.07233296,4.21033296,0.138,4.01633296,6.72013518,4.96519296,3.53787531,3.07636238,0.936,0.406,,,0.541193783283,1.803,0.757310152054
1741,10477624533078018807,58.41343,53.13196,17.38,19.233,7.52,15.544,0.211,1.98355,1.742,14,10,11,11,13,4681704,58.41343265,53.13196068,128.63903905,0.11284955,1.52707248,49.65765227,19.23675203,16.26398759,17.45304434,15.53031923,15.10462992,14,11,10,11,13,11.906,11.849,0.024,0.023,13.544,0.027,12.512,0.03,12.163,0.029,0.222,0.283,0.309,0.221,0.265,1.78370769,1.18905675,0.73366836,0.42568931,2.97276444,4.13212211,1.15935767,2.34841442,4.35798759,4.41498759,0.057,4.10098759,7.07375203,5.29004434,3.36731923,2.94162992,1.032,0.349,,,0.546305775642,1.853,0.669307947159
1784,10478451365822055754,64.52032,44.16573,16.424,17.432,57.652,18.092,0.482,3.81094,0.566,8,8,8,9,11,1071725,64.52031723,44.16573139,71.29718261,0.20683536,0.67974906,161.18699105,17.49102684,15.94817069,16.42686992,15.83996286,15.5406713,8,8,8,9,11,13.607,13.582,0.025,0.034,14.434,0.026,13.832,0.032,13.615,0.033,0.429,0.034,0.085,0.675,0.354,1.06415692,0.47869923,0.10820783,0.29929156,1.54285615,1.95035554,0.40749939,0.88619862,2.34117069,2.36617069,0.025,2.33317069,3.87602684,2.81186992,2.22496286,1.9256713,0.602,0.217,,,0.545350015163,1.008,0.63087439537
1786,10495375048796432654,55.53693,56.0298,16.809,18.897,6.959,14.299,0.457,2.38149,2.077,9,10,8,4,15,133818,55.53694165,56.02980601,84.75261207,0.15277852,1.01883565,102.55879168,18.81241302,15.41082199,16.79831426,14.67861762,14.03200478,9,8,10,4,15,10.536,10.42,0.023,0.019,12.178,0.018,11.206,0.019,10.8,0.02,0.593,0.524,0.435,0.094,0.271,2.01409876,1.38749227,0.73220437,0.64661284,3.40159103,4.78040824,1.37881721,2.76630948,4.87482199,4.99082199,0.116,4.61082199,8.01241302,5.99831426,3.87861762,3.23200478,0.972,0.406,,,0.547254264355,2.088,0.954164505005
1823,10495832445633500962,59.87735,50.92054,14.539,16.0,21.08,14.061,0.866,3.37302,1.278,10,10,3,7,9,4744262,59.87734893,50.92053532,62.4245534,0.28001884,1.52707248,546.6060559,15.91370985,13.34694053,14.27821358,12.74401863,12.40785047,10,3,10,7,9,9.673,9.606,0.023,0.019,10.844,0.026,10.214,0.03,9.939,0.021,1.009,0.685,0.292,0.375,0.372,1.63549627,0.93127305,0.6029219,0.33616816,2.56676932,3.50585938,0.93909006,1.87036311,3.67394053,3.74094053,0.067,3.40794053,5.97470985,4.33921358,2.80501863,2.46885047,0.63,0.275,,,0.547254264355,1.461,0.946774244308
1824,10495832445633501219,59.69904,50.76333,17.773,19.636,26.678,16.831,0.487,3.78983,1.629,12,12,11,12,17,4744377,59.69903453,50.76333312,133.67988802,0.15277852,3.43060476,157.99684005,19.64293933,16.75219475,17.79633541,15.96174701,15.42843083,12,11,12,12,17,12.286,12.256,0.023,0.024,13.88,0.032,12.922,0.032,12.561,0.026,0.41,0.274,0.614,0.434,0.268,1.84660392,1.04414066,0.79044774,0.53331618,2.89074458,4.2145085,1.32376392,2.36790458,4.46619475,4.49619475,0.03,4.19119475,7.08193933,5.23533541,3.40074701,2.86743083,0.958,0.361,,,0.547254264355,1.863,0.922967433929
1899,10531403845815414357,55.03781,55.51383,17.838,19.566,7.99,15.416,0.326,1.02634,1.705,8,7,8,10,12,130836,55.03779968,55.51383194,94.31181166,0.11284955,2.2888386,50.13079345,19.57381662,16.75720991,17.84586998,16.11321435,15.56584649,8,8,7,10,12,12.673,12.566,0.039,0.042,14.019,0.034,13.309,0.046,12.888,0.037,0.08,0.083,0.156,0.394,0.297,1.72794664,1.08866007,0.64399556,0.54736786,2.81660671,4.00797013,1.19136342,2.28002349,4.08420991,4.19120991,0.107,3.86920991,6.68581662,4.95786998,3.22521435,2.67784649,0.71,0.421,,,0.546305775642,1.728,0.666791081429
1900,10531421438001538839,55.04556,55.12782,16.748,18.67,6.855,14.717,0.365,3.12464,1.978,14,13,10,14,14,270083,55.04555429,55.12782038,146.05756619,0.11284955,1.01883565,83.49665461,18.73720828,15.42700607,16.72330451,14.47741668,13.92791,14,10,13,14,14,10.662,10.567,0.024,0.021,12.171,0.021,11.246,0.024,10.848,0.021,0.552,0.356,0.111,0.199,0.244,2.01390377,1.29629844,0.94958939,0.54950668,3.31020221,4.80929828,1.49909607,2.79539451,4.76500607,4.86000607,0.095,4.57900607,7.88920828,5.87530451,3.62941668,3.07991,0.925,0.398,,,0.547254264355,1.922,0.797215998173
1909,10531702912978182791,57.70908,52.13934,18.41,19.723,32.961,19.281,0.661,3.8056,0.899,12,8,12,17,13,4792790,57.70907899,52.13933723,71.06376486,0.28001884,0.08986095,282.76495859,19.74257887,17.6925625,18.42542677,17.42627335,17.0873599,12,12,8,17,13,14.596,14.497,0.039,0.071,16.112,0.101,15.102,0.118,15.2,0.142,0.699,0.603,0.635,0.601,0.605,1.3171521,0.73286427,0.26628915,0.33891345,2.05001637,2.65521897,0.6052026,1.33806687,3.0965625,3.1955625,0.099,2.4925625,4.54257887,3.22542677,2.22627335,1.8873599,1.01,-0.098,,,0.53956246376,1.313,0.687926709652
1954,10549383059953156170,54.22429,55.66344,16.448,17.864,20.342,16.626,0.497,3.96509,1.161,13,15,13,15,18,4403004,54.22429109,55.66344503,172.31242946,0.11284955,11.55146959,91.63478635,17.91399383,15.60188602,16.43506341,15.07613458,14.73810174,13,13,15,15,18,11.663,11.194,0.023,0.02,13.315,0.027,12.51,0.033,12.209,0.024,0.519,0.325,0.217,0.227,0.267,1.47893042,0.83317739,0.52575144,0.33803284,2.31210781,3.17589209,0.86378428,1.69696167,3.93888602,4.40788602,0.469,3.39288602,5.70499383,4.22606341,2.86713458,2.52910174,0.805,0.301,,,0.543450474739,1.416,0.622800111771
1957,10549435836511038136,54.7808,55.0721,15.087,16.625,8.189,15.308,0.497,5.27132,1.305,10,9,6,4,10,343544,54.780801,55.07209795,83.68678437,0.15277852,196.30251458,128.37561493,16.67261298,14.19637634,15.17079525,13.69234801,13.28423309,10,6,9,4,10,10.129,9.757,0.021,0.02,11.72,0.023,11.138,0.032,10.657,0.022,0.307,0.287,0.387,0.348,0.374,1.50181773,0.97441891,0.50402833,0.40811492,2.47623664,3.38837989,0.91214325,1.88656216,4.06737634,4.43937634,0.372,3.53937634,6.01561298,4.51379525,3.03534801,2.62723309,0.582,0.481,,,0.536789596081,1.538,0.771818459034
1960,10549488613069201218,55.41523,54.68422,16.814,19.566,206.657,12.706,1.053,5.46779,2.953,14,13,12,6,10,345277,55.41523233,54.68422289,105.40923201,0.11284955,0.30257816,58.29198328,19.46766138,14.16048063,16.79569435,12.86630776,12.00248479,14,12,13,6,10,7.37,7.31,0.028,0.02,9.702,0.022,8.243,0.024,7.616,0.023,0.635,0.434,0.24,0.204,0.085,2.67196703,2.63521372,1.29417287,0.86382297,5.30718075,7.46517659,2.15799584,4.79320956,6.79048063,6.85048063,0.06,6.54448063,11.85166138,9.17969435,5.25030776,4.38648479,1.459,0.627,,,0.544196009636,2.752,0.717373132706
1962,10549506205255245679,55.57932,54.49535,16.951,19.285,28.886,14.473,0.5,2.69187,2.139,16,15,11,13,18,353934,55.57931741,54.49535034,159.93306001,0.15277852,1.52707248,126.65072598,19.19574857,15.65416986,16.94996442,14.61435983,14.05514247,16,11,15,13,18,10.683,10.584,0.023,0.02,12.278,0.019,11.416,0.017,10.998,0.018,0.688,0.336,0.211,0.272,0.336,2.24578415,1.29579456,1.03981003,0.55921736,3.54157871,5.1406061,1.59902739,2.89482195,4.97116986,5.07016986,0.099,4.65616986,8.19774857,5.95196442,3.61635983,3.05714247,0.862,0.418,,,0.547254264355,2.334,0.966985046864
2006,10567590972508994587,55.95305,53.38829,15.579,19.393,137.569,12.08,0.621,12.81575,3.389,16,11,11,4,4,331399,55.95305661,53.38828679,86.85478638,0.15277852,11.55146959,81.56864654,19.41513247,13.60823706,15.57809396,12.35361659,11.60081,16,11,11,4,4,5.985,5.921,0.112,0.043,9.45,0.023,7.72,0.031,6.772,0.023,0.82,0.264,0.257,0.079,0.119,3.83703851,1.9698569,1.25462047,0.75280659,5.80689541,7.81432247,2.00742706,3.97728396,7.62323706,7.68723706,0.064,6.83623706,12.64313247,8.80609396,5.58161659,4.82881,1.73,0.948,,,0.538901269436,3.814,0.822912812233
2070,10585834069436991832,57.91995,50.78224,16.648,19.581,67.1,12.44,0.493,6.04087,3.155,7,8,8,7,8,4735246,57.91995312,50.78223905,73.36877877,0.20683536,25.95065203,167.82242925,19.56359104,14.25749588,16.6344317,12.97480792,12.13608783,7,8,8,7,8,7.773,7.641,0.027,0.02,10.056,0.021,8.617,0.021,8.044,0.018,0.209,0.588,0.315,0.203,0.093,2.92915934,2.37693582,1.28268796,0.83872009,5.30609516,7.42750321,2.12140805,4.49834387,6.48449588,6.61649588,0.132,6.21349588,11.51959104,8.5904317,4.93080792,4.09208783,1.439,0.573,,,0.541067838669,2.933,0.861586511135
2071,10585886845995179438,58.2476,49.97346,14.0,14.761,23.311,14.532,0.468,1.47902,0.547,10,10,3,4,14,4673166,58.24760363,49.97345608,60.15641329,0.20683536,0.67974906,152.795056,14.78038776,13.65238085,13.99805748,13.37050114,13.14993093,10,3,10,4,14,11.428,11.412,0.023,0.02,12.048,0.021,11.635,0.027,11.513,0.026,0.768,0.338,0.221,0.299,0.474,0.78233028,0.34567663,0.28187971,0.22057021,1.12800691,1.63045683,0.50244992,0.84812655,2.22438085,2.24038085,0.016,2.13938085,3.26738776,2.48505748,1.85750114,1.63693093,0.413,0.122,,,0.545324981213,0.761,0.718817651272
2087,10603443847667371598,53.7205,55.00261,17.1,18.578,8.96,15.59,0.442,1.52646,1.443,8,11,7,8,14,383204,53.72050216,55.00261191,97.62434133,0.11284955,0.67974906,53.65575162,18.58083155,16.16789288,17.13789923,15.62630379,15.10797097,8,7,11,8,14,12.574,12.494,0.025,0.025,13.642,0.022,13.081,0.024,12.744,0.025,0.187,0.315,0.26,0.374,0.274,1.44293232,0.97000635,0.54158909,0.51833282,2.41293867,3.47286058,1.05992191,2.02992826,3.59389288,3.67389288,0.08,3.42389288,5.83683155,4.39389923,2.88230379,2.36397097,0.561,0.337,,,0.546305775642,1.478,0.856182456017
2093,10603654953900093585,55.58948,52.56078,17.591,19.151,12.82,17.737,0.456,5.8718,1.339,12,15,11,11,12,395428,55.58947615,52.56078466,120.56937056,0.15277852,1.52707248,122.20906867,19.15369227,16.49036292,17.58202527,15.93416403,15.58182791,12,11,15,11,12,12.613,12.555,0.024,0.026,14.04,0.033,13.168,0.036,12.867,0.036,0.503,0.455,0.402,0.283,0.351,1.571667,1.09166235,0.55619889,0.35233612,2.66332935,3.57186436,0.90853501,2.00019736,3.87736292,3.93536292,0.058,3.62336292,6.28669227,4.71502527,3.06716403,2.71482791,0.872,0.301,,,0.547254264355,1.56,0.783146560192
2097,10603778099202208308,57.01012,51.3378,17.487,18.865,37.575,17.43,0.667,6.58178,1.418,11,12,10,15,15,4618764,57.010118,51.33779976,118.86350196,0.28001884,3.43060476,380.21046724,18.90347708,16.22632236,17.49525611,15.68051472,15.17452687,11,10,12,15,15,12.011,11.973,0.024,0.022,13.44,0.029,12.504,0.034,12.223,0.03,0.564,0.559,0.599,0.617,0.634,1.40822097,1.26893375,0.54580764,0.50598785,2.67715472,3.72895021,1.05179549,2.32072924,4.21532236,4.25332236,0.038,4.00332236,6.68047708,5.27225611,3.45751472,2.95152687,0.936,0.281,,,0.547254264355,1.378,0.89112830162
2135,10621686944595630453,55.59999,52.33092,16.542,17.542,26.667,18.53,0.543,5.81701,0.57,11,14,8,9,16,336806,55.59998852,52.33092056,119.28587414,0.15277852,1.52707248,91.09268064,17.54499581,16.23526782,16.53887208,15.65780373,15.37580921,11,8,14,9,16,13.595,13.572,0.027,0.033,14.769,0.038,14.28,0.053,14.095,0.073,0.233,0.077,0.669,0.293,0.062,1.00612373,0.30360426,0.57746409,0.28199452,1.30972799,2.1691866,0.85945861,1.16306287,2.64026782,2.66326782,0.023,2.14026782,3.44999581,2.44387208,1.56280373,1.28080921,0.489,0.185,,,0.54246711731,1.0,0.645092427731
2235,10675606994821549814,53.40915,52.98935,18.245,19.536,38.745,17.296,0.456,2.47149,1.369,10,12,7,7,14,5962952,53.40915069,52.98935492,69.65971728,0.20683536,0.20187478,190.15143687,19.43401499,17.18307081,18.12597104,16.60155227,16.16012238,10,7,12,7,14,13.72,13.687,0.026,0.036,14.857,0.039,14.238,0.037,13.82,0.04,0.619,0.714,0.3,0.489,0.495,1.30804395,0.94290023,0.58151854,0.44142989,2.25094418,3.27389261,1.02294843,1.96584866,3.46307081,3.49607081,0.033,3.36307081,5.61401499,4.30597104,2.78155227,2.34012238,0.619,0.418,,,0.54149967432,1.291,0.624549388885
2243,10675800508868001671,55.45576,50.83356,14.759,16.163,20.989,15.196,0.399,4.6571,1.077,12,10,11,5,14,1229537,55.45575725,50.83356222,107.20102315,0.15277852,1.52707248,108.48089158,16.0521937,13.91188812,14.7505723,13.47275421,13.10034233,12,11,10,5,14,10.731,10.669,0.023,0.021,11.661,0.023,11.085,0.03,10.839,0.025,0.683,0.074,0.428,0.189,0.28,1.3016214,0.83868418,0.43913391,0.37241188,2.14030558,2.95185137,0.81154579,1.65022997,3.18088812,3.24288812,0.062,3.07288812,5.2131937,3.9115723,2.63375421,2.26134233,0.576,0.246,,,0.547254264355,1.404,0.769543945789
2397,10819634221967323660,50.4586,52.30755,17.814,18.952,19.837,18.371,0.577,2.8983,0.81,12,9,8,14,8,6044889,50.45859911,52.30755025,77.75086312,0.15277852,0.04,72.37295844,18.82859546,17.19537134,17.81279154,16.8506615,16.63116736,12,8,9,14,8,14.557,14.502,0.032,0.055,15.347,0.056,15.038,0.089,14.618,0.085,0.798,0.025,0.042,0.049,0.074,1.01580392,0.6174202,0.34470984,0.21949414,1.63322412,2.1974281,0.56420398,1.18162418,2.63837134,2.69337134,0.055,2.57737134,4.21059546,3.19479154,2.2326615,2.01316736,0.309,0.42,,,0.539620876312,1.138,0.652758538723
2424,9776276852045436030,77.97238,47.42224,13.929,14.65,31.991,17.679,0.55,21.91914,0.293,12,8,14,10,13,4422199,77.97238191,47.42223904,109.62238241,0.20683536,5.14193052,169.01733972,14.69575369,13.27143266,13.9795269,13.05647562,12.86238078,12,14,8,10,13,10.48,10.406,0.023,0.02,11.504,0.022,10.774,0.027,10.511,0.022,0.385,0.412,0.166,0.551,0.475,0.71622679,0.70809424,0.21495704,0.19409484,1.42432103,1.83337291,0.40905188,1.11714612,2.79143266,2.86543266,0.074,2.76043266,4.18475369,3.4685269,2.54547562,2.35138078,0.73,0.263,,,0.547254264355,0.721,0.70314258337
2438,9812164911576089686,76.72875,48.56031,15.578,17.152,136.129,13.909,0.936,2.02805,1.584,16,10,23,12,10,3797659,76.72875594,48.56031101,150.20316993,0.28001884,25.95065203,592.93626933,17.19564894,14.32330688,15.52054959,13.6269886,13.18979686,16,23,10,12,10,10.104,9.999,0.023,0.02,11.706,0.021,10.662,0.017,10.333,0.019,0.923,1.254,1.0,0.384,0.249,1.67509935,1.19724271,0.69631828,0.43719174,2.87234206,4.00585208,1.13351002,2.33075273,4.21930688,4.32430688,0.105,3.99030688,6.86264894,5.18754959,3.2939886,2.85679686,1.044,0.329,,,0.541193783283,1.574,0.867569625378
2443,9812217688134108575,77.1287,47.9736,15.248,16.494,53.375,14.625,0.786,1.97928,1.123,13,10,27,16,17,1756845,77.12870001,47.97360206,157.29201686,0.11284955,0.04,82.37336395,16.42605402,14.33034365,15.24864336,13.89343336,13.68226093,13,27,10,16,17,11.514,11.452,0.023,0.022,12.494,0.022,11.863,0.017,11.64,0.018,0.769,0.068,0.107,0.032,0.08,1.17741066,0.91829971,0.43691029,0.21117243,2.09571037,2.74379309,0.64808272,1.56638243,2.81634365,2.87834365,0.062,2.69034365,4.78605402,3.60864336,2.25343336,2.04226093,0.631,0.223,,,0.54149967432,1.246,0.635426104069
2455,9830161717899213985,76.4821,48.48619,13.857,14.785,53.987,15.632,0.736,3.31979,0.356,13,3,5,11,13,3654630,76.48209941,48.48619013,95.5094413,0.15277852,25.95065203,118.26428334,14.74109777,13.3929228,13.85788143,13.15473832,13.00229109,13,5,3,11,13,11.048,11.09,0.023,0.021,11.836,0.023,11.29,0.032,11.15,0.023,0.897,0.018,0.035,0.096,0.05,0.88321634,0.46495863,0.23818448,0.15244723,1.34817497,1.73880668,0.39063171,0.85559034,2.3449228,2.3029228,-0.042,2.2429228,3.59109777,2.70788143,2.00473832,1.85229109,0.546,0.14,,,0.538595438004,0.928,0.695677816868
2509,9884503980590682764,76.39388,44.62864,13.279,14.592,50.305,18.083,0.667,47.28561,0.315,11,6,9,8,13,2124195,76.3938822,44.62863923,84.38147321,0.28001884,17.31381436,289.55225056,14.56406928,12.81006607,13.52526852,12.7026895,12.41788274,11,9,6,8,13,10.377,10.307,0.022,0.021,11.078,0.023,10.401,0.031,10.208,0.021,0.432,0.68,0.504,0.602,0.509,1.03880076,0.71520245,0.10737657,0.28480676,1.75400321,2.14618654,0.39218333,1.10738578,2.43306607,2.50306607,0.07,2.60206607,4.35606928,3.31726852,2.4946895,2.20988274,0.677,0.193,,,0.539285600185,1.313,0.734249949455
2625,9956667127744492718,75.59934,42.63033,15.375,17.226,287.806,12.963,0.896,3.46563,2.077,17,12,6,3,11,1340693,75.59934034,42.63032688,93.39132464,0.20683536,7.70693545,254.94350577,17.24064299,13.34951864,15.41457707,12.29053982,11.77659946,17,6,12,3,11,8.431,8.353,0.023,0.02,10.117,0.022,9.028,0.031,8.578,0.022,0.841,0.548,0.381,0.211,0.15,1.82606592,2.06505843,1.05897882,0.51394036,3.89112435,5.46404353,1.57291918,3.63797761,4.91851864,4.99651864,0.078,4.77151864,8.66264299,6.83657707,3.71253982,3.19859946,1.089,0.45,,,0.547254264355,1.851,0.628350913525
2636,9973977838812555219,72.32401,50.27433,17.428,19.081,13.442,14.9,0.609,1.00013,1.625,9,8,19,12,15,2870831,72.32400453,50.2743247,138.94734921,0.20683536,58.29875896,147.76320202,19.07852291,16.38559746,17.43655022,15.67585694,15.28669018,9,19,8,12,15,12.505,12.431,0.024,0.023,13.874,0.038,13.206,0.042,12.854,0.032,0.173,0.108,0.067,0.588,1.043,1.64197269,1.05095276,0.70974052,0.38916676,2.69292545,3.79183273,1.09890728,2.14986004,3.88059746,3.95459746,0.074,3.53159746,6.22452291,4.58255022,2.82185694,2.43269018,0.668,0.352,,,0.536789596081,1.653,0.827936172485
2663,9974540788765850478,74.79751,44.1377,15.834,17.882,191.646,13.89,1.212,6.60775,2.108,10,8,11,1,9,2114383,74.79750846,44.13773168,73.56130118,0.15277852,7.70693545,162.71041173,17.79681283,13.49834543,15.76702749,12.307,11.87571265,10,11,8,1,9,8.007,7.926,0.025,0.021,10.071,0.023,8.815,0.027,8.368,0.021,0.82,0.466,0.295,-9999.99,0.222,2.02978534,2.26868206,1.19134543,0.43128735,4.2984674,5.92110018,1.62263278,3.89131484,5.49134543,5.57234543,0.081,5.13034543,9.42881283,7.39902749,3.939,3.50771265,1.256,0.447,,,0.547254264355,2.048,0.892171740532
