objid,ra,dec,chi2,F,r0,period,EBV,deltaEBV
11084678096912594043,301.53654,36.47506,2643.879,1.975,13.668,10.06448,0.954,-0.182
11120566156443422306,300.33829,34.56446,47.111,0.500,11.684,3.48341,1.165,0.156
11120566156443422509,300.34841,34.57976,19.821,0.541,12.366,3.48365,1.187,0.106
11120566156443422837,300.32010,34.61954,68.911,0.759,12.560,10.06321,1.228,0.160
11120566156443423199,300.33227,34.60331,110.313,0.929,13.086,4.86520,1.210,0.170
11120566156443423715,300.39998,34.59980,55.771,0.873,13.661,2.15167,1.227,0.214
11120566156443424229,300.38088,34.57510,61.690,1.234,13.898,3.96002,1.193,0.175
11120566156443425549,300.34132,34.58625,149.950,1.000,14.342,11.89745,1.192,0.195
11120566156443426534,300.37218,34.55603,186.208,1.646,14.548,7.10479,1.168,0.170
11120566156444484557,300.32454,34.59291,32.438,0.540,14.826,9.42573,1.194,0.098
11120566156444484628,300.36483,34.56263,51.000,1.906,14.812,2.00533,1.173,0.132
11120566156444484703,300.32049,34.58794,106.406,1.576,15.159,5.29586,1.186,0.158
11120566156444484748,300.36537,34.58315,319.305,2.000,15.450,4.39222,1.197,0.069
11174873234763008674,303.49090,36.82455,2738.964,2.000,15.975,7.10735,0.794,-0.171
11174978787879577030,304.74872,37.96526,436.997,2.000,14.038,3.45566,1.056,0.239
11210515003688820508,300.04802,32.38365,114.189,0.673,15.191,4.02711,1.324,0.221
11210655741177025642,301.47252,33.81286,104.125,0.836,12.315,9.98633,1.149,0.232
11210655741177025737,301.43773,33.83688,26.178,0.500,13.272,4.69703,1.167,0.002
11210655741177025903,301.50986,33.82074,123.778,0.889,12.580,4.69977,1.169,0.218
11210655741177026155,301.45858,33.85879,130.073,0.981,12.933,11.28422,1.218,0.192
11210655741177026250,301.53739,33.84479,25.416,0.763,12.986,4.65459,1.206,0.211
11210655741177026332,301.45274,33.81450,49.607,0.703,13.382,9.84593,1.144,0.207
11210655741177026425,301.49971,33.85782,58.879,0.812,12.970,9.60570,1.233,0.300
11210655741177026822,301.46480,33.87490,158.697,1.624,13.362,3.96032,1.240,0.150
11210655741177026826,301.46175,33.86476,55.527,0.798,13.650,4.77224,1.228,0.201
11210655741177026972,301.49888,33.83603,108.188,0.924,13.568,4.73820,1.193,0.195
11210655741177027289,301.50507,33.86360,34.431,0.760,13.649,5.32557,1.244,0.287
11210655741177028070,301.44786,33.84520,201.574,1.053,13.731,8.97224,1.189,0.178
11210655741177030293,301.47110,33.85198,903.103,1.109,14.614,8.89792,1.219,0.085
11210655741177030318,301.45202,33.82561,665.309,1.231,14.633,5.05949,1.163,0.147
11210655741177770343,301.44187,33.83225,153.881,1.048,15.833,5.46731,1.167,-0.052
11210655741177770455,301.46822,33.84896,223.700,1.010,15.951,5.55002,1.212,-0.014
11210655741177770789,301.47300,33.85353,127.846,1.096,15.683,3.41753,1.222,-0.065
11210655741177770862,301.49994,33.84253,221.669,0.884,16.059,10.53987,1.205,0.076
11210655741177773884,301.49347,33.81407,474.101,1.947,16.665,3.41659,1.156,-0.197
11210655741178394398,301.46130,33.86541,9.926,1.425,14.827,6.04010,1.227,0.040
11211042769269350865,305.35410,37.79592,294.669,1.335,15.831,9.57870,1.314,0.059
11246385471032522346,298.96621,30.52239,1.716,1.094,13.783,6.73083,0.884,0.176
11246385471032526329,298.97192,30.49228,364.651,1.097,15.171,10.32441,0.846,0.153
11246385471033541501,298.93664,30.48868,23.270,0.972,14.176,4.80061,0.824,0.202
11246385471033541535,298.93149,30.50070,1215.709,1.816,14.476,3.54702,0.838,-0.138
11246385471033541823,298.96859,30.50509,34.534,1.419,15.575,6.34812,0.861,0.038
11246385471033542004,298.95149,30.53281,479.388,1.309,15.932,5.32353,0.892,0.109
11264399869542003652,298.95961,30.45792,461.002,1.831,12.982,9.79382,0.796,0.149
11264399869542033089,298.98774,30.47534,242.407,1.440,13.412,2.94857,0.832,0.171
11264399869542039879,299.00405,30.51258,1723.222,2.000,15.327,6.38666,0.887,-0.133
11264399869542040279,298.98968,30.46481,575.736,0.992,15.692,4.77207,0.821,0.124
11264399869542971074,298.98667,30.45039,385.016,1.084,16.484,11.46585,0.802,0.056
11264399869543190942,298.97826,30.45964,340.405,1.998,15.416,2.75103,0.808,0.150
11264417461728082346,299.01764,30.50875,298.274,0.998,15.108,1.64453,0.890,0.154
11282766111772288805,302.72789,33.61454,924.314,0.749,13.384,10.62936,1.373,-0.295
11282766111772288975,302.64842,33.60833,47.173,0.500,13.120,10.22779,1.458,-0.153
11282766111772289320,302.73104,33.60064,275.575,1.425,12.779,4.17707,1.378,0.183
11282766111772289497,302.70112,33.62835,105.056,1.170,13.311,4.99860,1.379,0.197
11282766111772289531,302.65205,33.60582,54.802,0.982,13.141,4.50036,1.454,0.220
11282766111772289586,302.66283,33.61660,73.763,0.605,14.809,7.24780,1.428,-0.259
11282766111772289818,302.69583,33.64103,852.127,1.118,12.641,9.68200,1.376,0.045
11282766111772289894,302.68675,33.64540,181.571,1.786,13.988,11.79201,1.382,0.187
11282766111772289919,302.69824,33.60798,666.000,1.259,13.461,4.44451,1.397,0.024
11282766111772290276,302.70033,33.58076,353.928,1.001,13.918,4.99084,1.415,0.154
11282766111772291433,302.71756,33.58586,222.509,2.000,14.304,4.59651,1.397,0.115
11282766111772291598,302.68336,33.63310,44.164,1.693,14.033,5.70802,1.386,0.154
11282766111772291672,302.72727,33.60304,206.763,0.865,14.573,4.71177,1.379,0.171
11282766111772291702,302.64717,33.60356,53.010,1.800,14.510,4.56742,1.464,0.179
11282766111772342673,302.73831,33.60989,106.236,0.824,14.315,4.35597,1.370,0.071
11282766111772342715,302.66299,33.59319,71.179,0.637,14.297,7.57759,1.450,0.120
11282766111772342879,302.67515,33.59494,184.761,2.000,15.129,9.42116,1.433,0.006
11282766111772342943,302.70239,33.62739,28.916,0.982,15.777,11.31515,1.379,-0.026
11282766111776082450,302.68302,33.63313,0.612,1.893,14.334,1.98705,1.386,-0.028
11336228765162455727,297.51475,27.44931,36.081,2.000,17.576,2.93523,0.647,-0.298
11336281541720003840,297.88945,27.97903,2219.838,1.161,16.178,1.77857,0.758,0.197
11336510240138251880,300.27286,30.21681,32.784,0.981,13.672,7.43627,0.879,0.149
11336510240138252009,300.22423,30.16739,184.241,1.711,13.433,7.69237,0.837,0.148
11336510240138252140,300.28724,30.16507,94.683,0.865,13.803,11.18786,0.935,0.219
11336510240138253105,300.21193,30.19370,115.688,1.417,14.544,3.20539,0.801,0.213
11336510240138255601,300.25688,30.19299,1072.581,1.521,14.772,7.58808,0.870,-0.129
11336510240138257730,300.22868,30.20166,231.242,2.000,15.457,11.40879,0.819,0.115
11336510240138398856,300.28967,30.18784,95.494,2.000,16.312,11.41598,0.928,0.103
11336510240138787019,300.27941,30.20488,34.232,0.851,12.760,3.22767,0.899,0.208
11336510240138787265,300.27005,30.21859,205.209,1.915,15.164,10.74786,0.873,-0.065
11336510240138788624,300.23499,30.21728,398.406,1.207,16.351,1.80934,0.815,0.130
11336510240138789716,300.25493,30.17584,42.936,1.172,16.670,7.33498,0.878,-0.050
11336510240139322213,300.23802,30.20789,228.317,1.906,16.448,6.05170,0.828,-0.149
11392470983946368755,320.82988,50.16099,4330.040,1.998,13.752,1.39249,1.027,-0.059
11430540474545695016,14.38774,63.18353,128.838,0.547,13.232,8.73119,0.780,0.225
